Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Wed Feb 09 16:27:37 EST 2022,AnAvatar.java,1644442057566,8170,8170,(I)19(R)1(I)1,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,2.625,0.0,0.0,0.0,0.0,0.125,2.5,0.0,[]
,/modelData/A0UserStudy2010.arff,Wed Feb 09 16:27:37 EST 2022,AnAvatar.java, 1644442057566
2,,Wed Feb 09 16:27:46 EST 2022,AnAvatar.java,1644442066420,9501,9501,(I)12(R)1(I)8,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.1111111111111111,2.2222222222222223,0.0,[]
3,,Wed Feb 09 16:27:56 EST 2022,MainClass.java,1644442076027,23738,0,(I)6(D)1(F)1,0.75,12.5,0.0,12.5,0.0,0.0,0.34782608695652173,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.2608695652173913,0.0,[]
4,,Wed Feb 09 16:28:19 EST 2022,AnArrayBasedScene.java,1644442099866,38626,0,(F)1(I)4,0.8,0.0,0.0,20.0,0.0,0.0,0.13157894736842105,0.0,0.0,0.02631578947368421,0.0,0.0,0.10526315789473684,0.0,[]
5,,Wed Feb 09 16:28:58 EST 2022,AnArrayBasedScene.java,1644442138491,12218,0,(D)1(F)1,0.0,50.0,0.0,50.0,0.0,0.0,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,[]
6,,Wed Feb 09 16:29:10 EST 2022,Avatar.java,1644442150819,92975,0,(F)1(I)9,0.9,0.0,0.0,10.0,0.0,0.0,0.10869565217391304,0.0,0.0,0.010869565217391304,0.0,0.0,0.09782608695652174,0.0,[]
7,,Wed Feb 09 16:30:44 EST 2022,AChef.java,1644442244102,96301,0,(I)11,1.0,0.0,0.0,0.0,0.0,0.0,0.11458333333333333,0.0,0.0,0.0,0.0,0.0,0.11458333333333333,0.0,[]
8,,Wed Feb 09 16:32:20 EST 2022,AnArrayBasedScene.java,1644442340550,22853,0,(I)9(R)1(I)1(R)1(I)4,0.875,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.09090909090909091,0.6363636363636364,0.0,[]
9,,Wed Feb 09 16:32:43 EST 2022,AnArrayBasedScene.java,1644442363404,49503,0,(D)1(F)2(I)4,0.5714285714285714,14.285714285714285,0.0,28.57142857142857,0.0,0.0,0.14285714285714285,0.0,0.02040816326530612,0.04081632653061224,0.0,0.0,0.08163265306122448,0.0,[]
10,,Wed Feb 09 16:33:33 EST 2022,Avatar.java,1644442413073,9085,9085,(I)9(R)1(I)1(R)1(I)5,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,1.8888888888888888,0.0,0.0,0.0,0.0,0.2222222222222222,1.6666666666666667,0.0,[]
11,,Wed Feb 09 16:33:55 EST 2022,AnAvatar.java,1644442435746,31930,0,(I)14,1.0,0.0,0.0,0.0,0.0,0.0,0.45161290322580644,0.0,0.0,0.0,0.0,0.0,0.45161290322580644,0.0,[]
12,,Wed Feb 09 16:34:27 EST 2022,MainClass.java,1644442467681,28991,0,(I)7(D)1(F)1,0.7777777777777778,11.11111111111111,0.0,11.11111111111111,0.0,0.0,0.32142857142857145,0.0,0.03571428571428571,0.03571428571428571,0.0,0.0,0.25,0.0,[]
13,,Wed Feb 09 16:34:57 EST 2022,AnAvatar.java,1644442497351,63147,0,(F)1(I)5,0.8333333333333334,0.0,0.0,16.666666666666664,0.0,0.0,0.09523809523809523,0.0,0.0,0.015873015873015872,0.0,0.0,0.07936507936507936,0.0,[]
14,,Wed Feb 09 16:36:00 EST 2022,MainClass.java,1644442560498,25284,0,(I)6(D)1(F)1,0.75,12.5,0.0,12.5,0.0,0.0,0.32,0.0,0.04,0.04,0.0,0.0,0.24,0.0,[]
15,,Wed Feb 09 16:36:25 EST 2022,ALine.java,1644442585782,54158,0,(F)1(I)4,0.8,0.0,0.0,20.0,0.0,0.0,0.09259259259259259,0.0,0.0,0.018518518518518517,0.0,0.0,0.07407407407407407,0.0,[]
16,,Wed Feb 09 16:37:19 EST 2022,ALine.java,1644442639588,20343,0,(I)15(R)3,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.15,0.75,0.0,[]
17,,Wed Feb 09 16:37:40 EST 2022,AnArrayBasedScene.java,1644442660117,1393,1393,(R)2(I)2(R)2(I)13,0.7894736842105263,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,[]
18,,Wed Feb 09 16:37:52 EST 2022,AnArrayBasedScene.java,1644442672585,21481,0,(I)1(D)1(F)1,0.3333333333333333,33.33333333333333,0.0,33.33333333333333,0.0,0.0,0.14285714285714285,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,[]
19,,Wed Feb 09 16:38:14 EST 2022,ALine.java,1644442694066,25605,0,(F)1(I)18,0.9473684210526315,0.0,0.0,5.263157894736842,0.0,0.0,0.76,0.0,0.0,0.04,0.0,0.0,0.72,0.0,[]
20,,Wed Feb 09 16:38:39 EST 2022,ALine.java,1644442719871,13091,0,(I)1(D)1(F)1,0.3333333333333333,33.33333333333333,0.0,33.33333333333333,0.0,0.0,0.23076923076923078,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,[]
21,,Wed Feb 09 16:38:53 EST 2022,AnArrayBasedScene.java,1644442733126,35212,0,(F)3(I)7,0.7,0.0,0.0,30.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.08571428571428572,0.0,0.0,0.2,0.0,[]
22,,Wed Feb 09 16:39:28 EST 2022,AnArrayBasedScene.java,1644442768338,4329,4329,(I)23,1.0,0.0,0.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0,0.0,0.0,5.75,0.0,[]
23,,Wed Feb 09 16:39:32 EST 2022,AnArrayBasedScene.java,1644442772859,5496,5496,(I)21,1.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,[]
24,,Wed Feb 09 16:39:38 EST 2022,AnArrayBasedScene.java,1644442778356,4107,4107,(I)21,1.0,0.0,0.0,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,0.0,5.25,0.0,[]
25,,Wed Feb 09 16:39:43 EST 2022,AnArrayBasedScene.java,1644442783497,27907,0,(I)2(D)1(F)1,0.5,25.0,0.0,25.0,0.0,0.0,0.14814814814814814,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.07407407407407407,0.0,[]
26,,Wed Feb 09 16:40:11 EST 2022,AnAvatar.java,1644442811537,34895,0,(F)1(I)10,0.9090909090909091,0.0,0.0,9.090909090909092,0.0,0.0,0.3235294117647059,0.0,0.0,0.029411764705882353,0.0,0.0,0.29411764705882354,0.0,[]
27,,Wed Feb 09 16:40:46 EST 2022,ALine.java,1644442846509,45317,0,(D)1(F)2(I)2(R)4(I)3,0.4166666666666667,8.333333333333332,0.0,16.666666666666664,0.0,0.0,0.26666666666666666,0.0,0.022222222222222223,0.044444444444444446,0.0,0.08888888888888889,0.1111111111111111,0.0,[]
28,,Wed Feb 09 16:41:35 EST 2022,AnArrayBasedScene.java,1644442895976,60154,0,(I)2(R)3(I)2(R)1(I)7(R)3,0.6111111111111112,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.11666666666666667,0.18333333333333332,0.0,[]
29,,Wed Feb 09 16:42:36 EST 2022,AnAvatar.java,1644442956131,-621,-621,(R)1(I)6(D)1(F)2(R)1,0.5454545454545454,9.090909090909092,0.0,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
